form	type	evidential	form_base	base_label	form_aux	aux_type	aux_morph	deriv_stem	lex_type	struct	res	cr	exp	semnr	formnr	meaning	lang	idiom	gltc	lat	lon	aff	datapoint	comment	ref	bib	page
-na<cm>(y) 	perfectoid	unwitnessed	-na<cm>(y) < -na 	anterior converb	#NAME?	copula	reduced	perfective	converb	synthetic	resultative	current relevance		3	1	res, cr, evidential	Ingush	Ingush	ingu1240	43.16667	44.81667	Nakh	glottolog point Ingush	Converb is equal to participle.	(Nichols 2011)	nichols2011	
-cm-oxa ida	perfectoid	unwitnessed	-cm-oxa	past converb	ida	copula	full	past	converb	analytic		current relevance		2	1	cr, evidential	Karata	Karata	kara1474	42.5942	46.3419	Andic	village Karata	Labeled прошедшее несовершенное. It is unclear what that means, and no phrasal examples are provided. Update: has perfect and evidential meaning according to Xalidova (2019). Very likely also has resultative meaning.	(Magomedbekova 1971)	magomedbekova1971	
res.stem-(q)omæ	perfectoid			resultative stem	-(q)omæ	copula	full		stem	analytic	resultative	current relevance		2	2	res, cr	Khinalug	Khinalug	khin1240	41.18014	48.05714	Khinalug	glottolog point Khinalugh	Also expresses spatial deixis “lower than the speaker”. As a result, it does not combine with first person (see page 169 on Present Definite II).	(Kibrik, Kodzasov & Olovjannikova 1972)	kibriketal1972	
res.stem-athmæ	perfectoid			resultative stem	-athmæ	copula	full		stem	analytic	resultative	current relevance		2	2	res, cr	Khinalug	Khinalug	khin1240	41.18014	48.05714	Khinalug	glottolog point Khinalugh		(Kibrik, Kodzasov & Olovjannikova 1972)	kibriketal1972	
džija-cm	perfectoid		džija-cm < -dži		ja-cm	copula	reduced	perfective	converb	synthetic	resultative			1	2	res	Kryz	Alyk	kryt1240	41.1775	48.23694	Lezgic	village Alyk		(Maisak To appear)	maisak2020	
dža	perfectoid		dža < -dži		ja-cm	copula	reduced	perfective	converb	synthetic	resultative	current relevance	experiential	3	2	res, cr	Kryz	Alyk	kryt1240	41.1775	48.23694	Lezgic	village Alyk		(Maisak To appear)	maisak2020	
-ʁAn-[person]	perfectoid	unwitnessed	-ʁAn-[person]	past participle		no auxiliary	no auxiliary		participle	synthetic	resultative	current relevance		3	2	res, cr, evidential	Kumyk	Kumyk	kumy1244	43	47	Turkic	glottolog point Kumyk		(Johanson 2018; Abdullaeva et al. 2014)	johanson2018; abdullaevaetal2014	
-Ip tur-a 	perfectoid		-Ip	past converb	tur-a	auxiliary	full		converb	analytic		current relevance		1	2	cr	Kumyk	Kumyk	kumy1244	43	47	Turkic	glottolog point Kumyk		(Johanson 2018; Abdullaeva et al. 2014)	johanson2018; abdullaevaetal2014	
-unu cm-ur 	perfectoid	unwitnessed	-unu 	past gerund	cm-ur	copula	full		converb	analytic		current relevance		2	1	cr, evidential	Lak	Lak	lakk1252	42.13275	47.0809	Lak	glottolog point Lak	Interpretation (at least for transitive verbs) depends on case form of the subject. According to Friedman (1984) there is no “pure resultative” in Lak.	(Friedman 2007)	friedman2007	
-nwa	perfectoid		-nwa < -na 		awa 	copula	reduced	perfective	converb	synthetic	resultative	current relevance		2	1	res, cr	Lezgian	Lezgian	lezg1247	41.51572	47.89507	Lezgic	glottolog point Lezgian	Auxiliary ‘be in’.	(Maisak To appear; Greed 2017)	maisak2020; greed2017	
-Ip(tI)-[person]	perfectoid	unwitnessed	-Ip(tI)-[person] < -Ip 	past converb	tur-a	auxiliary	reduced		converb	synthetic	resultative	current relevance		1	2	res, cr, evidential	Nogai	Nogai	noga1249	43.59168	46.66178	Turkic	glottolog point Nogai	Is said to originate from converb -Ib + auxiliary tur-ur ‘stands’.	(Johanson 2018; Baskakov 1940)	johanson2018; baskakov1940	
-ʁAn-[person]	perfectoid	unwitnessed	-ʁAn-[person]	past participle		no auxiliary	no auxiliary		participle	synthetic	resultative	current relevance		2	2	res, cr, evidential	Nogai	Nogai	noga1249	43.59168	46.66178	Turkic	glottolog point Nogai	No evidential meaning according to Baskakov (1940), though it seems to appear as a narrative tense in the fairy tales he recorded.	(Johanson 2018; Baskakov 1940)	johanson2018; baskakov1940	
-d i 	perfectoid		-d 	perfective participle	i	copula	full	perfective	participle	analytic			experiential	1	2	cr	Rutul	Rutul	rutu1240	41.61866	47.32436	Lezgic	glottolog point Rutul		(Maisak To appear)	maisak2020	
pf.stem a // ʔa	perfectoid			perfective stem	a // ʔa	copula	full	perfective	converb	analytic	resultative	current relevance		2	2	res, cr	Rutul	Rutul	rutu1240	41.61866	47.32436	Lezgic	glottolog point Rutul	Converb is equal to perfective stem.	(Maisak To appear)	maisak2020	
-na	perfectoid		-na < -un 		a	copula	reduced	perfective	converb	synthetic	resultative	current relevance		2	1	res, cr	Tabasaran	Tabasaran	taba1259	42.01976	47.83791	Lezgic	glottolog point Tabasaran		(Maisak To appear)	maisak2020	
-(w)oː	perfectoid	unwitnessed	-(w)oː < o 	past converb / witnessed past	ija	copula	reduced	bare	converb	synthetic	resultative			2	1	res, evidential	Tindi	Tindi	tind1238	42.454716	46.13469	Andic	village Tindi	Copula reappears in negation. Converb is equal to Past.	(Magomedova 2012)	magomedova2007	
pf.stem wo-cm-un	perfectoid		prf.stem	perfective stem	wo-cm-un	copula	full	perfective	converb	analytic	resultative	current relevance		2	2	res, cr	Tsakhur	Mishlesh	tsak1249	41.6649	47.089775	Lezgic	village Mishlesh	Converb is equal to perfective stem and Aorist.	(Maisak To appear; Maisak & Tatevosov 2007)	maisak2020; maisaktatevosov2007	
pf.stem wo-cm	perfectoid	unwitnessed	prf.stem	perfective stem	wo-cm	copula	full	perfective	converb	analytic	resultative	current relevance		3	2	res, cr, evidential	Tsakhur	Mishlesh	tsak1249	41.6649	47.089775	Lezgic	village Mishlesh	Converb is equal to perfective stem and Aorist.	(Maisak To appear; Maisak & Tatevosov 2007)	maisak2020; maisaktatevosov2007	
-no/n	perfectoid	unwitnessed	-no/n	perfective converb		no auxiliary	defective		converb	synthetic				1	1	evidential	Tsez	Tsez	dido1241	42.26458	45.80959	Tsezic	glottolog point Tsez	Copula reappears under negation.	(Khalilova 2011)	khalilova2011	
<person>-ijo	perfectoid		<person>-ijo	substantivized participle		no auxiliary	no auxiliary	perfective	participle	synthetic	resultative	current relevance	experiential	3	2	res, cr	Udi	Udi	udii1243	40.94	47.66833	Lezgic	village Nizh		(Maisak 2016)	maisak2016	
-e=[person]	suffix		-e=[person]			no auxiliary	no auxiliary	perfective	unclear	synthetic	resultative	current relevance	experiential	3	2	res, cr	Udi	Udi	udii1243	40.94	47.66833	Lezgic	village Nizh	Reconstructed as analytic by Maisak (2018: 158), based on negation. Reconstructed form of the lexical verb is the form in -i, which functions as Aorist, Perfective Participle and Aorist Converb.	(Maisak 2018)	maisak2018	
-un goli 	perfectoid		-un 	perfective converb	goli	copula	full		converb	analytic	resultative			1	2	res	Khwarshi	Inkhoqwari	khva1239	42.410888	46.044877	Tsezic	glottolog point Inxokvari	There is also a difficult to evaluate General Resultative Tense with a present tense auxiliary and a future-like meaning. 	(Khalilova 2009)	khalilova2009	
-un	perfectoid	unwitnessed	-un	perfective converb		no auxiliary	no auxiliary		converb	synthetic				1	2	evidential	Khwarshi	Inkhoqwari	khva1239	42.410888	46.044877	Tsezic	glottolog point Inxokvari		(Khalilova 2011)	khalilova2011	
