survey	id	sentence_nr	context_en	context_ru	sentence_en	sentence_ru	translat_original	translit_morph	gloss	translation	target_verb	target_trans	form_label	exp	given	comments	speaker	idiom	language	gender	birthyear	date
pfq	11	8	[Do you know what happened to me just an hour ago?]	[Знаете что со мной случилось час назад?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохьой ун йик1ана. Лъач1ого борхьида т1ад ч1ана. Долъ дида х1ат1ида х1анч1ана. Дида гамач1 долда реч1ана. Доб хвана.	roxoj un jik’ana. ɬač’ogo borxida t’ad č’ana. doɬ dida ħat’ida ħančʼana. dica gamačʼ dolda rečʼana. dob χwana.			брать						1	Khunzakh	Avar	F		2016
pfq	12	8	[Do you know what happened to me just an hour ago?]	[Знаете что со мной случилось час назад?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохьой ун йик1ана. Лъач1ого борхьида т1ад ч1ана. Долъ дида х1ат1ида х1анч1ана. Дида гамач1 долда реч1ана. Доб хвана.	roxoj un jik’ana. ɬač’ogo borxida t’ad č’ana. doɬ dida ħat’ida ħančʼana. dica gamačʼ dolda rečʼana. dob χwana.			бросать	rečʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	13	8	[Do you know what happened to me just an hour ago?]	[Знаете что со мной случилось час назад?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохьой ун йик1ана. Лъач1ого борхьида т1ад ч1ана. Долъ дида х1ат1ида х1анч1ана. Дида гамач1 долда реч1ана. Доб хвана.	roxoj un jik’ana. ɬač’ogo borxida t’ad č’ana. doɬ dida ħat’ida ħančʼana. dica gamačʼ dolda rečʼana. dob χwana.			умирать	χwana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	14	9	[Do you know what happened to me yesterday?]	[Знаете что вчера со мной случилось?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Дун рохойе ун вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир бохалда х1анч1ана. Дица гьелъда гамач1 реч1ана. Гьеб хвана.	dun roxoje un wuk’ana. toχɬuƛ’ego dun borxida t’ad čʼana. heɬ dir boχalda ħančʼana. dica heɬda gamačʼ rečʼana. heb χwana.			ходить	un wuk’ana	aorist_pluperfect	not p	not p		1	Khunzakh	Avar	F		2016
pfq	15	9	[Do you know what happened to me yesterday?]	[Знаете что вчера со мной случилось?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Дун рохойе ун вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир бохалда х1анч1ана. Дица гьелъда гамач1 реч1ана. Гьеб хвана.	dun roxoje un wuk’ana. toχɬuƛ’ego dun borxida t’ad čʼana. heɬ dir boχalda ħančʼana. dica heɬda gamačʼ rečʼana. heb χwana.			наступать	čʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	16	9	[Do you know what happened to me yesterday?]	[Знаете что вчера со мной случилось?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Дун рохойе ун вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир бохалда х1анч1ана. Дица гьелъда гамач1 реч1ана. Гьеб хвана.	dun roxoje un wuk’ana. toχɬuƛ’ego dun borxida t’ad čʼana. heɬ dir boχalda ħančʼana. dica heɬda gamačʼ rečʼana. heb χwana.			кусать 	ħančʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	17	9	[Do you know what happened to me yesterday?]	[Знаете что вчера со мной случилось?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Дун рохойе ун вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир бохалда х1анч1ана. Дица гьелъда гамач1 реч1ана. Гьеб хвана.	dun roxoje un wuk’ana. toχɬuƛ’ego dun borxida t’ad čʼana. heɬ dir boχalda ħančʼana. dica heɬda gamačʼ rečʼana. heb χwana.			брать						1	Khunzakh	Avar	F		2016
pfq	18	9	[Do you know what happened to me yesterday?]	[Знаете что вчера со мной случилось?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Дун рохойе ун вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир бохалда х1анч1ана. Дица гьелъда гамач1 реч1ана. Гьеб хвана.	dun roxoje un wuk’ana. toχɬuƛ’ego dun borxida t’ad čʼana. heɬ dir boχalda ħančʼana. dica heɬda gamačʼ rečʼana. heb χwana.			бросать	rečʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	19	9	[Do you know what happened to me yesterday?]	[Знаете что вчера со мной случилось?]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Дун рохойе ун вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир бохалда х1анч1ана. Дица гьелъда гамач1 реч1ана. Гьеб хвана.	dun roxoje un wuk’ana. toχɬuƛ’ego dun borxida t’ad čʼana. heɬ dir boχalda ħančʼana. dica heɬda gamačʼ rečʼana. heb χwana.			умирать	χwana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	20	10	[Do you know what happened to my brother yesterday? I saw it myself.]	[Знаете что вчера с моим братом случилось? Сам видел как произошло.]	We WALK in the forest. Suddenly he STEP on a snake. It BITE him in the leg. He TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Он БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ.  	Рохосан ине вук1ана вац. Тохлъукьего гьев борхида т1ад ч1ана. Гьелъ гьесул х1ат1ида х1анч1ана. Гьес гамач1ги босун гьелда реч1ана. Гьеб хвана.	roxosan ine wuk’ana vac. toxɬuƛ’ego hew borxida t'ad čʼana. heɬ hesul ħat'ida ħančʼana. hes gamačʼgi bosun helda rečʼana. heb χwana.			ходить	ine wuk’ana	aorist_infinitive	not p	not p		1	Khunzakh	Avar	F		2016
pfq	21	10	[Do you know what happened to my brother yesterday? I saw it myself.]	[Знаете что вчера с моим братом случилось? Сам видел как произошло.]	We WALK in the forest. Suddenly he STEP on a snake. It BITE him in the leg. He TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Он БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ.  	Рохосан ине вук1ана вац. Тохлъукьего гьев борхида т1ад ч1ана. Гьелъ гьесул х1ат1ида х1анч1ана. Гьес гамач1ги босун гьелда реч1ана. Гьеб хвана.	roxosan ine wuk’ana vac. toxɬuƛ’ego hew borxida t'ad čʼana. heɬ hesul ħat'ida ħančʼana. hes gamačʼgi bosun helda rečʼana. heb χwana.			наступать	čʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	22	10	[Do you know what happened to my brother yesterday? I saw it myself.]	[Знаете что вчера с моим братом случилось? Сам видел как произошло.]	We WALK in the forest. Suddenly he STEP on a snake. It BITE him in the leg. He TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Он БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ.  	Рохосан ине вук1ана вац. Тохлъукьего гьев борхида т1ад ч1ана. Гьелъ гьесул х1ат1ида х1анч1ана. Гьес гамач1ги босун гьелда реч1ана. Гьеб хвана.	roxosan ine wuk’ana vac. toxɬuƛ’ego hew borxida t'ad čʼana. heɬ hesul ħat'ida ħančʼana. hes gamačʼgi bosun helda rečʼana. heb χwana.			кусать 	ħančʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	23	10	[Do you know what happened to my brother yesterday? I saw it myself.]	[Знаете что вчера с моим братом случилось? Сам видел как произошло.]	We WALK in the forest. Suddenly he STEP on a snake. It BITE him in the leg. He TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Он БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ.  	Рохосан ине вук1ана вац. Тохлъукьего гьев борхида т1ад ч1ана. Гьелъ гьесул х1ат1ида х1анч1ана. Гьес гамач1ги босун гьелда реч1ана. Гьеб хвана.	roxosan ine wuk’ana vac. toxɬuƛ’ego hew borxida t'ad čʼana. heɬ hesul ħat'ida ħančʼana. hes gamačʼgi bosun helda rečʼana. heb χwana.			брать						1	Khunzakh	Avar	F		2016
pfq	24	10	[Do you know what happened to my brother yesterday? I saw it myself.]	[Знаете что вчера с моим братом случилось? Сам видел как произошло.]	We WALK in the forest. Suddenly he STEP on a snake. It BITE him in the leg. He TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Он БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ.  	Рохосан ине вук1ана вац. Тохлъукьего гьев борхида т1ад ч1ана. Гьелъ гьесул х1ат1ида х1анч1ана. Гьес гамач1ги босун гьелда реч1ана. Гьеб хвана.	roxosan ine wuk’ana vac. toxɬuƛ’ego hew borxida t'ad čʼana. heɬ hesul ħat'ida ħančʼana. hes gamačʼgi bosun helda rečʼana. heb χwana.			бросать	rečʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	25	10	[Do you know what happened to my brother yesterday? I saw it myself.]	[Знаете что вчера с моим братом случилось? Сам видел как произошло.]	We WALK in the forest. Suddenly he STEP on a snake. It BITE him in the leg. He TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Он БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ.  	Рохосан ине вук1ана вац. Тохлъукьего гьев борхида т1ад ч1ана. Гьелъ гьесул х1ат1ида х1анч1ана. Гьес гамач1ги босун гьелда реч1ана. Гьеб хвана.	roxosan ine wuk’ana vac. toxɬuƛ’ego hew borxida t'ad čʼana. heɬ hesul ħat'ida ħančʼana. hes gamačʼgi bosun helda rečʼana. heb χwana.			умирать	χwana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	26	11	[Do you know what happened to me once when I was a child? (Note: the speaker was, however, old enough to remember the incident.)]	[Знаете что однажды со мной случилось в детстве? Очень хорошо помню.]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохов хвадулев вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир х1ат1ида х1анач1ана. Дица гамач1ги босун гьелъда реч1ана. Гьеб хвана.	roxow χwadulew wuk’ana. toXɬuƛ’ego dun borxida t’ad čʼana. heɬ dir ħat'ida ħanačʼana. dica gamačʼgi bosun heɬda rečʼana. heb χwana.			ходить	χwadulew wuk’ana	aorist_imperfect	not p	not p		1	Khunzakh	Avar	F		2016
pfq	27	11	[Do you know what happened to me once when I was a child? (Note: the speaker was, however, old enough to remember the incident.)]	[Знаете что однажды со мной случилось в детстве? Очень хорошо помню.]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохов хвадулев вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир х1ат1ида х1анач1ана. Дица гамач1ги босун гьелъда реч1ана. Гьеб хвана.	roxow χwadulew wuk’ana. toXɬuƛ’ego dun borxida t’ad čʼana. heɬ dir ħat'ida ħanačʼana. dica gamačʼgi bosun heɬda rečʼana. heb χwana.			наступать	čʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	28	11	[Do you know what happened to me once when I was a child? (Note: the speaker was, however, old enough to remember the incident.)]	[Знаете что однажды со мной случилось в детстве? Очень хорошо помню.]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохов хвадулев вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир х1ат1ида х1анач1ана. Дица гамач1ги босун гьелъда реч1ана. Гьеб хвана.	roxow χwadulew wuk’ana. toXɬuƛ’ego dun borxida t’ad čʼana. heɬ dir ħat'ida ħanačʼana. dica gamačʼgi bosun heɬda rečʼana. heb χwana.			кусать 	ħančʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	29	11	[Do you know what happened to me once when I was a child? (Note: the speaker was, however, old enough to remember the incident.)]	[Знаете что однажды со мной случилось в детстве? Очень хорошо помню.]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохов хвадулев вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир х1ат1ида х1анач1ана. Дица гамач1ги босун гьелъда реч1ана. Гьеб хвана.	roxow χwadulew wuk’ana. toXɬuƛ’ego dun borxida t’ad čʼana. heɬ dir ħat'ida ħanačʼana. dica gamačʼgi bosun heɬda rečʼana. heb χwana.			брать						1	Khunzakh	Avar	F		2016
pfq	30	11	[Do you know what happened to me once when I was a child? (Note: the speaker was, however, old enough to remember the incident.)]	[Знаете что однажды со мной случилось в детстве? Очень хорошо помню.]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохов хвадулев вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир х1ат1ида х1анач1ана. Дица гамач1ги босун гьелъда реч1ана. Гьеб хвана.	roxow χwadulew wuk’ana. toXɬuƛ’ego dun borxida t’ad čʼana. heɬ dir ħat'ida ħanačʼana. dica gamačʼgi bosun heɬda rečʼana. heb χwana.			бросать	rečʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	31	11	[Do you know what happened to me once when I was a child? (Note: the speaker was, however, old enough to remember the incident.)]	[Знаете что однажды со мной случилось в детстве? Очень хорошо помню.]	I WALK in the forest. Suddenly I STEP on a snake. It BITE me in the leg. I TAKE a stone and THROW (it) at the snake. It DIE. 	ХОДИТЬ по лесу. Вдруг НАСТУПАТЬ на змею. Она КУСАТЬ в ногу. Я БРАТЬ камень и БРОСАТЬ (его) в змею. Она УМИРАТЬ. 	Рохов хвадулев вук1ана. Тохлъукьего дун борхида т1ад ч1ана. Гьелъ дир х1ат1ида х1анач1ана. Дица гамач1ги босун гьелъда реч1ана. Гьеб хвана.	roxow χwadulew wuk’ana. toXɬuƛ’ego dun borxida t’ad čʼana. heɬ dir ħat'ida ħanačʼana. dica gamačʼgi bosun heɬda rečʼana. heb χwana.			умирать	χwana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	32	12	[This happened to me just an hour ago.]	[Это случилось со мной только час назад.]	I SIT under a tree, when an apple FALL on my head. (Or, if more natural: While I SIT under a tree, an apple FALL on my head.)	Когда я CИДЕТЬ под деревом, на мою голову ПАДАТЬ яблоко.	Рот1ода гъоркь гъодойч1ч1ун йик1арай дида, бот1роде г1еч ботун бач1ана.	rot’oda ʁorƛ’ ʁodojčːʼun jik'araj dida, bot'rode ʕeč botun bačʼana.			сидеть	čːʼun jik’araj 	participle_pluperfect	not p	other		1	Khunzakh	Avar	F		2016
pfq	33	12	[This happened to me just an hour ago.]	[Это случилось со мной только час назад.]	I SIT under a tree, when an apple FALL on my head. (Or, if more natural: While I SIT under a tree, an apple FALL on my head.)	Когда я CИДЕТЬ под деревом, на мою голову ПАДАТЬ яблоко.	Рот1ода гъоркь гъодойч1ч1ун йик1арай дида, бот1роде г1еч ботун бач1ана.	rot’oda ʁorƛ’ ʁodojčːʼun jik'araj dida, bot'rode ʕeč botun bačʼana.			падать	(botun) bačʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	34	13	[Do you know what happened to me once when I was a child? (Note: the speaker was, however, old enough to remember the incident.)]	[Знаете что однажды со мной случилось в детстве. Очень хорошо помню.]	I SIT under a tree, when an apple FALL on my head. (Or, if more natural: When I SIT under a tree, an apple FALL on my head.)	Когда я CИДЕТЬ под деревом, на мою голову ПАДАТЬ яблоко.	Рот1ода гъоркь гъодойч1ч1ун йик1арай дида, бот1роде г1еч ботун бач1ана.	rot’oda ʁorƛ’ ʁodojčːʼun jik'araj dida, bot'rode ʕeč botun bačʼana.			сидеть	čːʼun jik’araj 	participle_pluperfect	not p	other		1	Khunzakh	Avar	F		2016
pfq	35	13	[Do you know what happened to me once when I was a child? (Note: the speaker was, however, old enough to remember the incident.)]	[Знаете что однажды со мной случилось в детстве. Очень хорошо помню.]	I SIT under a tree, when an apple FALL on my head. (Or, if more natural: When I SIT under a tree, an apple FALL on my head.)	Когда я CИДЕТЬ под деревом, на мою голову ПАДАТЬ яблоко.	Рот1ода гъоркь гъодойч1ч1ун йик1арай дида, бот1роде г1еч ботун бач1ана.	rot’oda ʁorƛ’ ʁodojčːʼun jik'araj dida, bot'rode ʕeč botun bačʼana.			падать	(botun) bačʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	36	14	[It is morning. A wakes up, looks out of the window and sees that the coutyard (or the street) is wet.]	[Утром просыпаетесь, смотрите из окна и видите как во дворе или на улице мокро.]	A: It RAIN during the night.	А: Ночью дождь ИДТИ. 	Ноль ц1ад бан буго.	noɬ cʼad ban bugo.			(дождь) идти	ban bugo	perfect	not p	perfect		1	Khunzakh	Avar	F		2016
pfq	37	15	[Question: You MEET my sister (at any time in your life up to now)?]	[Вопрос: Вы ВСТРЕЧАТЬСЯ с моей сестрой (в какой-то момент)?]	Answer: Yes, I MEET her several times.	Ответ: Да, мы с ней ВСТРЕЧАТЬСЯ несколько раз.	У, ниж гьейгунчанго нухалъ дандч1ван рук1ана.	u, niž hejgunčango nuxaɬ dandčʼwan ruk'ana.			встречаться	čʼwan ruk’ana	aorist_pluperfect	not p	not p		1	Khunzakh	Avar	F		2016
pfq	38	16	[A question asked at 9 o’clock A.M.: Why do you look so tired?]	[Вопрос задан в 9 утра: Почему так устало выглядите?]	Answer: I WAKE UP at 4 o’clock this morning (or: today).	Ответ: ПРОСЫПАТЬСЯ в 4 сегодня утром.	Радакь ункьгоялда йорч1ана.	radaƛ’ unƛ’gojalda jorčʼana.			просыпаться	jorčʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	39	17	[A question asked at 3 o’clock P.M.: Why do you look so tired?]	[Вопрос задан в 3 днем: Почему так устало выглядите?]	Answer: I WAKE UP at 4 o’clock today.	Ответ: ПРОСЫПАТЬСЯ в 4 сегодня.	Жакъа ункъгоялда йорч1ана.	žaqʼa unqʼgojalda jorčʼana. 			просыпаться	jorčʼana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	40	18	[A question asked at 9 o’clock A.M.: Why do you look so tired?]	[Вопрос задан в 9 утра: Почему так устало выглядите?]	Answer: I NOT SLEEP well during the night.	Ответ: Я НЕ СПАТЬ хорошо ночью.	Нолъ дун квешго къижана.	noɬ dun kwešgo qʼižana.			не спать	qʼižana	aorist	not p	not p		1	Khunzakh	Avar	F		2016
pfq	41	19	[A question asked at 3 o’clock P.M.: Why do you look so tired?]	[Вопрос задан в 3 днем: Почему так устало выглядите?]	Answer: I NOT SLEEP well during the night.	Ответ: Я НЕ СПАТЬ хорошо ночью.	Дун нолъ лъик1 кьижич1о.	dun noɬ ɬik'  ƛ’ižičʼo.			не спать	ƛʼižičʼo	aorist	not p	not p		1	Khunzakh	Avar	F		2016
