survey	id	sentence_nr	context	sentence	translat_original	translit_morph	gloss	translation	target_verb	target_trans	expected	given	speaker	idiom	language	gender	birthyear	date	comment
es	11	9	К вам приехал двоюродный брат из города, которого вы уже очень давно не видели. Он спрашивает, «Какие новости?» а вы ему расскажете о событиях у вас:	В соседнем селе школу разрушили, а у нас тут у соседей дочка родилась.	валлагь, зунриппалла шшицциб маркналли ушкул зеебяркьибцаб нишшала зунрала рирсси ряркьибцар	wallah, zun-ripp-alla šːi-cːi-b mark-n-alli uškul zee-b-arq-ib=ca-b niš-ala zunra-la rirsːi r-arq'-ib=ca-r 	by_god, neighbor-pl-gen village-in-ess rain-pl-erg school spoil-n-make-pret=cop-n 1pl-gen neighbor-gen girl f-make-pret=cop-f 		родилась	r-arq'-ib=ca-r 	perfect	perfect	1	Itsari	Dargwa	M	1961	3.2016	Здесь перфект можно заменить и аористом. Большая разница в значении не ощущается.
es	14	1	Вы шли по улице, как вдруг увидели бегущего молодого человека, с дамской сумкой на руках, за которым бегут два полицейских. Вы видите, как полицейские его в конце концов догоняют и арестовывают. На следующий день вы встречаете соседа и рассказываете о том, что видели:	Иду я вчера по улице, и вдруг мимо меня бежит молодой парень, а за ним полицейские. Он быстро бежал, но в конце концов они его поймали.		naɢa zɨ kuče nati jiʔij, sadaχustɨ iz-dɨ begitatiʔ sa džihil gada jaʁ-ɨr aj, džɨbra qʷar palicejski quna. had dirina jaʁ-ɨr aj, exir palicejski-eše xaɢɨr	yesterday 1sg street on cop.prs suddenly 1sg-gen past one young guy run-ipfv.cvb cop.pst behind two policeman after he quick run-ipfv.cvb cop.pst finally policeman-erg.pl catch.aor 		поймали	xaɢɨr	past	past	1	Kina	Rutul	M	unknown	7.2016	
es	15	2	Вернувшись домой, вы сразу чувствуете запах тухлого мяса, которое, наверное, где-то на кухне. Ясно, что мясо испортилось. Как вы бы сказали жене:	Эх, жена, мясо протухло! Другая еда есть?		aj ɢari, wɨ-dɨ jak č'iri.jiš-ir a! mad-dɨ iles-dɨ adišma?	hey wife, 2sg-atr meat bad.become-pfv.cvb cop other-atr food-atr cop.neg		протухло	č'iri.jiš-ir a	perfect	perfect	1	Kina	Rutul	M	unknown	7.2016	
es	16	3	Вы и знакомый встречаете в лесу человека, который спит на только что снятой шкуре медведя. Рядом лежит свежая туша. Как вы скажете своему знакомому:	Он убил медведя, а ведь охота запрещена.		mi-nɨw si jɨwx-ɨr a, ha-bɨr jelx-ɨs ixtijar adiš.	dem-erg bear shoot-pfv.cvb cop, dem-pl shoot-inf permision cop.neg		убил	jɨwx-ɨr a	perfect	perfect	1	Kina	Rutul	M	unknown	7.2016	
es	17	3	Вы и знакомый встречаете в лесу человека, который спит на только что снятой шкуре медведя. Рядом лежит свежая туша. Как вы скажете своему знакомому:	Он убил медведя, а ведь охота запрещена.		mi-nɨw si jɨwx-ɨr ad-kal jiʔi, habɨr jelxʔ-ɨs ixtijar adiš	dem-erg bear shoot-pfv.cvb cop.prs.ptcp-mir cop, dem-pl shoot-inf permission cop.neg		убил	jɨwx-ɨr ad-kal jiʔi	perfect	other	1	Kina	Rutul	M	unknown	7.2016	
es	18	4	Вы просыпаетесь и смотрите из окна. Вчера ваша жена попросила сегодня сходить на рынок, а вы, смотря из окна видите, что на улице все мокро. Как вы в таком случае сказали бы:	Ночью был дождь, я никуда не пойду, нет хорошей обуви.		jüše luʁ-ur a, za-xda ɢilidɨ-bɨr adiš, zɨ hillenna ruʔus diš	night rain_fall-pfv.cvb cop 1sg-apud shoe-pl cop.neg 1sg nowhere go.inf cop.neg		был	luʁ-ur a	perfect	perfect	1	Kina	Rutul	M	unknown	7.2016	
es	19	5	Вы спали и во сне перевернули стакан с водой, стоявший возле кровати. Вы просыпаетесь и видите лужу на полу. Как вы скажете:	Эй, жена (дочка), (оказывается) я пролил воду, вытри, пожалуйста.		aj ɢari, za-daa xed sasedč'-ur a, tamɨzda	hey wife, 1sg-? water pour_out-pfv.cvb cop wipe_off.imp		пролил	sasedč'-ur a	perfect	perfect	1	Kina	Rutul	M	unknown	7.2016	
es	20	5	Вы спали и во сне перевернули стакан с водой, стоявший возле кровати. Вы просыпаетесь и видите лужу на полу. Как вы скажете:	Эй, жена (дочка), (оказывается) я пролил воду, вытри, пожалуйста.		aj ɢari, za-daa xed sasedč'-ur aj=xje, tamɨzda.	hey wife, 1sg-? water pour_out-pfv.cvb cop=ptc wipe_off.imp		пролил	sasedč'-ur aj=xje	perfect	other	1	Kina	Rutul	M	unknown	7.2016	
es	21	6	Вы видите на улице много милиции. Вы спрашиваете у прохожего – почему? Он говорит, что в город приехали важные гости. Вы приходите домой и говорите жене:	В город приехало начальство, лучше посидеть дома.		šeher-de q'ixtɨ-bɨr jidq'-ɨr a=xʷa zɨ ɣiɣa xal-a suqus-ɨ	city-? official-pl come-pfv.cvb cop=rep 1sg today house-in sit-fut		приехало	jidq'-ɨr a=xʷa	perfect	perfect	1	Kina	Rutul	M	unknown	7.2016	
es	22	7	В конце января по телевизору в Махачкале сообщили, что в Москве шел снег. Возвращаясь в село, вы говорите водителю маршрутки:	В Москве снова снег, значит, у нас через неделю тоже будет.		maskow-de jiz luʁ-ur a, sa haˁftijila mijxa huɣas-i	moscow-? snow fall-pfv.cvb cop one week here go-fut		снег	luʁ-ur a	perfect	perfect	1	Kina	Rutul	M	unknown	7.2016	
es	23	8	Вас спрашивают какое у вас мнение о новом главе района. Лично вы его не знаете, но люди отзываются о нем хорошо. Как вы скажете:	Говорят, он честный человек. Но один честный человек ничего не изменит.		hɨxtɨ edemi jiʔi-xʷa sa hɨxtɨ edemi-era šešun haʔas diš	good person cop=rep one good person-erg nothing do.inf cop.neg 		честный человек	jiʔi-xʷa	other	other	1	Kina	Rutul	M	unknown	7.2016	
es	24	9	К вам приехал двоюродный брат из города, которого вы уже очень давно не видели. Он спрашивает, «Какие новости?» а вы ему расскажете о событиях у вас:	В соседнем селе школу разрушили, а у нас тут у соседей дочка родилась.		ɢumši mˁuq-a mextab luwk-ur a, ɢumši-es rɨš riš-ir a	neighbor village-in school destory-pfv.cvb cop neighbor-dat daughter be_born-pfv.cvb cop		разрушили	luwk-ur a	perfect	perfect	1	Kina	Rutul	M	unknown	7.2016	
es	25	9	К вам приехал двоюродный брат из города, которого вы уже очень давно не видели. Он спрашивает, «Какие новости?» а вы ему расскажете о событиях у вас:	В соседнем селе школу разрушили, а у нас тут у соседей дочка родилась.		ɢumši mˁuq-a mextab luwk-ur a, ɢumši-es rɨš riš-ir a	neighbor village-in school destory-pfv.cvb cop neighbor-dat daughter be_born-pfv.cvb cop		родилась	riš-ir a	perfect	perfect	1	Kina	Rutul	M	unknown	7.2016	
es	26	10	Вы были у родственников в Махачкале и когда вы вернулись в село вам рассказывали о том, что произошло когда вас не было. Потом родственники вам звонят спросить как доехали, и вы перерассказываете следующую историю (перевести все предложения отдельно):	Мне рассказывали такую историю. В село приехали какие-то москвичи, корреспонденты говорили. А у нас в селе была свадьба, их тоже пригласили. И зашли они, покушали. Даже лезгинку танцевали.		za-s hɨʔ-ɨr aj misad extiled. muˁq'-aˁ jidʁ-ɨr a moskow-dja-dɨ hušer-idjen. karrespandent-aše, ruʁʷ-ar aj. ix-dɨ dawad(bɨr) aj. habiše-xta seswɨʔ-ɨr. habɨr a jidʁ-ɨr, ilesdɨ-bɨr liʔ-ir. lezginka-xa hɨʔ-ɨr aj. 	1sg-erg do-pfv.cvb cop.pst ? story. village-in come-pfv.cvb cop moscow-?-atr ?-? journalist-erg.pl say-ipfv.cvb cop.pst. 1pl-gen wedding cop.pst. dem.pl-? call-aor. dem.pl cop come-aor food-pl eat-aor. lezginka-ptc do-pfv.cvb cop.pst		рассказывали	hɨʔ-ɨr aj	past	other	2	Kina	Rutul	M	?	7.2016	
es	27	10	Вы были у родственников в Махачкале и когда вы вернулись в село вам рассказывали о том, что произошло когда вас не было. Потом родственники вам звонят спросить как доехали, и вы перерассказываете следующую историю (перевести все предложения отдельно):	Мне рассказывали такую историю. В село приехали какие-то москвичи, корреспонденты говорили. А у нас в селе была свадьба, их тоже пригласили. И зашли они, покушали. Даже лезгинку танцевали.		za-s hɨʔ-ɨr aj misad extiled. muˁq'-aˁ jidʁ-ɨr a moskow-dja-dɨ hušer-idjen. karrespandent-aše, ruʁʷ-ar aj. ix-dɨ dawad(bɨr) aj. habiše-xta seswɨʔ-ɨr. habɨr a jidʁ-ɨr, ilesdɨ-bɨr liʔ-ir. lezginka-xa hɨʔ-ɨr aj. 	1sg-erg do-pfv.cvb cop.pst ? story. village-in come-pfv.cvb cop moscow-?-atr ?-? journalist-erg.pl say-ipfv.cvb cop.pst. 1pl-gen wedding cop.pst. dem.pl-? call-aor. dem.pl cop come-aor food-pl eat-aor. lezginka-ptc do-pfv.cvb cop.pst		приехали	jidʁ-ɨr a	perfect	perfect	2	Kina	Rutul	M	?	7.2016	
es	28	10	Вы были у родственников в Махачкале и когда вы вернулись в село вам рассказывали о том, что произошло когда вас не было. Потом родственники вам звонят спросить как доехали, и вы перерассказываете следующую историю (перевести все предложения отдельно):	Мне рассказывали такую историю. В село приехали какие-то москвичи, корреспонденты говорили. А у нас в селе была свадьба, их тоже пригласили. И зашли они, покушали. Даже лезгинку танцевали.		za-s hɨʔ-ɨr aj misad extiled. muˁq'-aˁ jidʁ-ɨr a moskow-dja-dɨ hušer-idjen. karrespandent-aše, ruʁʷ-ar aj. ix-dɨ dawad(bɨr) aj. habiše-xta seswɨʔ-ɨr. habɨr a jidʁ-ɨr, ilesdɨ-bɨr liʔ-ir. lezginka-xa hɨʔ-ɨr aj. 	1sg-erg do-pfv.cvb cop.pst ? story. village-in come-pfv.cvb cop moscow-?-atr ?-? journalist-erg.pl say-ipfv.cvb cop.pst. 1pl-gen wedding cop.pst. dem.pl-? call-aor. dem.pl cop come-aor food-pl eat-aor. lezginka-ptc do-pfv.cvb cop.pst		говорили	ruʁʷ-ar aj	perfect	other	2	Kina	Rutul	M	?	7.2016	
es	29	10	Вы были у родственников в Махачкале и когда вы вернулись в село вам рассказывали о том, что произошло когда вас не было. Потом родственники вам звонят спросить как доехали, и вы перерассказываете следующую историю (перевести все предложения отдельно):	Мне рассказывали такую историю. В село приехали какие-то москвичи, корреспонденты говорили. А у нас в селе была свадьба, их тоже пригласили. И зашли они, покушали. Даже лезгинку танцевали.		za-s hɨʔ-ɨr aj misad extiled. muˁq'-aˁ jidʁ-ɨr a moskow-dja-dɨ hušer-idjen. karrespandent-aše, ruʁʷ-ar aj. ix-dɨ dawad(bɨr) aj. habiše-xta seswɨʔ-ɨr. habɨr a jidʁ-ɨr, ilesdɨ-bɨr liʔ-ir. lezginka-xa hɨʔ-ɨr aj. 	1sg-erg do-pfv.cvb cop.pst ? story. village-in come-pfv.cvb cop moscow-?-atr ?-? journalist-erg.pl say-ipfv.cvb cop.pst. 1pl-gen wedding cop.pst. dem.pl-? call-aor. dem.pl cop come-aor food-pl eat-aor. lezginka-ptc do-pfv.cvb cop.pst		была	aj	perfect	other	2	Kina	Rutul	M	?	7.2016	
es	30	10	Вы были у родственников в Махачкале и когда вы вернулись в село вам рассказывали о том, что произошло когда вас не было. Потом родственники вам звонят спросить как доехали, и вы перерассказываете следующую историю (перевести все предложения отдельно):	Мне рассказывали такую историю. В село приехали какие-то москвичи, корреспонденты говорили. А у нас в селе была свадьба, их тоже пригласили. И зашли они, покушали. Даже лезгинку танцевали.		za-s hɨʔ-ɨr aj misad extiled. muˁq'-aˁ jidʁ-ɨr a moskow-dja-dɨ hušer-idjen. karrespandent-aše, ruʁʷ-ar aj. ix-dɨ dawad(bɨr) aj. habiše-xta seswɨʔ-ɨr. habɨr a jidʁ-ɨr, ilesdɨ-bɨr liʔ-ir. lezginka-xa hɨʔ-ɨr aj. 	1sg-erg do-pfv.cvb cop.pst ? story. village-in come-pfv.cvb cop moscow-?-atr ?-? journalist-erg.pl say-ipfv.cvb cop.pst. 1pl-gen wedding cop.pst. dem.pl-? call-aor. dem.pl cop come-aor food-pl eat-aor. lezginka-ptc do-pfv.cvb cop.pst		пригласили	seswɨʔ-ɨr	perfect	past	2	Kina	Rutul	M	?	7.2016	
es	31	10	Вы были у родственников в Махачкале и когда вы вернулись в село вам рассказывали о том, что произошло когда вас не было. Потом родственники вам звонят спросить как доехали, и вы перерассказываете следующую историю (перевести все предложения отдельно):	Мне рассказывали такую историю. В село приехали какие-то москвичи, корреспонденты говорили. А у нас в селе была свадьба, их тоже пригласили. И зашли они, покушали. Даже лезгинку танцевали.		za-s hɨʔ-ɨr aj misad extiled. muˁq'-aˁ jidʁ-ɨr a moskow-dja-dɨ hušer-idjen. karrespandent-aše, ruʁʷ-ar aj. ix-dɨ dawad(bɨr) aj. habiše-xta seswɨʔ-ɨr. habɨr a jidʁ-ɨr, ilesdɨ-bɨr liʔ-ir. lezginka-xa hɨʔ-ɨr aj. 	1sg-erg do-pfv.cvb cop.pst ? story. village-in come-pfv.cvb cop moscow-?-atr ?-? journalist-erg.pl say-ipfv.cvb cop.pst. 1pl-gen wedding cop.pst. dem.pl-? call-aor. dem.pl cop come-aor food-pl eat-aor. lezginka-ptc do-pfv.cvb cop.pst		зашли	a jidʁ-ɨr	perfect	unclear	2	Kina	Rutul	M	?	7.2016	
es	32	10	Вы были у родственников в Махачкале и когда вы вернулись в село вам рассказывали о том, что произошло когда вас не было. Потом родственники вам звонят спросить как доехали, и вы перерассказываете следующую историю (перевести все предложения отдельно):	Мне рассказывали такую историю. В село приехали какие-то москвичи, корреспонденты говорили. А у нас в селе была свадьба, их тоже пригласили. И зашли они, покушали. Даже лезгинку танцевали.		za-s hɨʔ-ɨr aj misad extiled. muˁq'-aˁ jidʁ-ɨr a moskow-dja-dɨ hušer-idjen. karrespandent-aše, ruʁʷ-ar aj. ix-dɨ dawad(bɨr) aj. habiše-xta seswɨʔ-ɨr. habɨr a jidʁ-ɨr, ilesdɨ-bɨr liʔ-ir. lezginka-xa hɨʔ-ɨr aj. 	1sg-erg do-pfv.cvb cop.pst ? story. village-in come-pfv.cvb cop moscow-?-atr ?-? journalist-erg.pl say-ipfv.cvb cop.pst. 1pl-gen wedding cop.pst. dem.pl-? call-aor. dem.pl cop come-aor food-pl eat-aor. lezginka-ptc do-pfv.cvb cop.pst		покушали	liʔ-ir	perfect	past	2	Kina	Rutul	M	?	7.2016	
es	33	10	Вы были у родственников в Махачкале и когда вы вернулись в село вам рассказывали о том, что произошло когда вас не было. Потом родственники вам звонят спросить как доехали, и вы перерассказываете следующую историю (перевести все предложения отдельно):	Мне рассказывали такую историю. В село приехали какие-то москвичи, корреспонденты говорили. А у нас в селе была свадьба, их тоже пригласили. И зашли они, покушали. Даже лезгинку танцевали.		za-s hɨʔ-ɨr aj misad extiled. muˁq'-aˁ jidʁ-ɨr a moskow-dja-dɨ hušer-idjen. karrespandent-aše, ruʁʷ-ar aj. ix-dɨ dawad(bɨr) aj. habiše-xta seswɨʔ-ɨr. habɨr a jidʁ-ɨr, ilesdɨ-bɨr liʔ-ir. lezginka-xa hɨʔ-ɨr aj. 	1sg-erg do-pfv.cvb cop.pst ? story. village-in come-pfv.cvb cop moscow-?-atr ?-? journalist-erg.pl say-ipfv.cvb cop.pst. 1pl-gen wedding cop.pst. dem.pl-? call-aor. dem.pl cop come-aor food-pl eat-aor. lezginka-ptc do-pfv.cvb cop.pst		танцевали	hɨʔ-ɨr aj	perfect	other	2	Kina	Rutul	M	?	7.2016	
es	34	1	Вы шли по улице, как вдруг увидели бегущего молодого человека, с дамской сумкой на руках, за которым бегут два полицейских. Вы видите, как полицейские его в конце концов догоняют и арестовывают. На следующий день вы встречаете соседку и рассказываете о том, что видели :	Иду я вчера по улице, и вдруг мимо меня бежит молодой парень, а за ним полицейские. Он быстро бежал , но в конце концов они его поймали.	сон къват1исан унаго дида аск1осан векерун ана г1олохъанав вас, гьесда хадув к1иго полицейский. г1олохъанав вас квешго векерулев вук1ана, кин, векераниги полициялъ гьев куна. 	son q’ʷat’isan unago dida ask’osan wekerun ana ʕoloqanaw was, hesda χaduw k’igo policejskij. ʕoloqanaw was kʷešgo wekerulew wuk’ana, kin, wekeranigi policijaɬ hew kuna.			поймали	kuna	past	past	1	?	Avar	F	?	9.2016	
es	35	2	Вы заходите в гости к сестре, и когда входите в дом вы сразу чувствуете запах тухлого мяса, которое, наверное, где-то на кухне. Ясно, что мясо испортилось. Как вы бы сказали сестре:	Эх, у тебя мясо протухло! Надо его выкинуть.	яц, дур рукъусан буго турараб гьанав маг1. гьан нахъе рехе.	jac, dur ruq’usan bugo turarab hanaw maʕ. han naqe reχe.			протухло	?	perfect	unclear	1	?	Avar	F	?	9.2016	
es	36	3	Вы пошли в лес вместе с сыном собирать ягоды, и там встречаете в лесу человека, который спит на только что снятой шкуре медведя. Рядом лежит свежая туша. Вы этим удивляетесь и говорите своему сыну	Он убил медведя, а ведь охота запрещена!	гьас ци ч1ван буго, амма ци ч1вазе бегьулеб бук1инч1о законалда рекъон.	has ci č’ʷan bugo, amma ci č’ʷaze behuleb buk’inč’o zakonalda req’on.			убил	č’ʷan bugo	perfect	perfect	1	?	Avar	F	?	9.2016	
es	37	4	Вы просыпаетесь и смотрите из окна. Вчера вы с мужем решили сегодня сходить на рынок, а вы, смотря из окна видите, что на улице все мокро. Как вы в таком случае сказали бы	Ночью был дождь, я никуда не пойду, нет хорошей обуви.	къаси бук1ана ц1ад, дун киего яч1унаро, дир рет1изе хьитал гьеч1о.	q’asi buk'ana c’ad, dun kiego jač’unaro, dir ret'ize xital heč’o. 			был	buk'ana	perfect	past	1	?	Avar	F	?	9.2016	
es	38	5	Вы спали и во сне перевернули стакан с водой, стоявший возле кровати. Вы просыпаетесь и видите лужу на полу. Как вы скажете:	Эй, дочка, (оказывается) я пролила воду, вытри, пожалуйста.	ле, яс, лъим г1одобе ун буго. бац1е бегьолеб батани.	le, jas, ɬim ʕodobe un bugo. bac’e beholeb batani.			пролила	un bugo	perfect	perfect	1	?	Avar	F	?	9.2016	
es	39	6	Вы видите на улице много милиции и перекрыли несколько улиц. Вы спрашиваете у прохожего – почему? Он говорит, что в город приехали важные гости. А вы сегодня собирались зайти в магазин с матерью. Как вы, вернувшись домой, сказали бы ей:	В город приехало начальство, лучше попозже зайдем.	шагьаралде рач1ана гьаккинзаби, цодагьаб хадур рилъина.	šaharalde rač’ana hakːinzabi, codahab χadur riɬina.			приехало	rač’ana	perfect	past	1	?	Avar	F	?	9.2016	
