survey	id	sentence_nr	context	sentence	translat_original	translit_morph	gloss	translation	target_verb	target_trans	form_label	exp	given	speaker	idiom	language	gender	birthyear	date	comment
pn	110	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	себ онши иший ила решл1и йиъон дихъи боссон дий илуди бак1арун ц1орол ч1ат1и	se-b onši iši-j ila reš-ƛi j-iʔon di-qi bosːon di-j ilu-di b-ak’arun c’orol.č’at’i	one-inanone time 1pl.excl-f[gen] mother forest-inter f-go.aor 1sg-instr tell.aor 1sg-f[gen] mother-erg inanone-gather.aor wild_raspberry		go	йиъон	aorist	other	past	AMKh	Rushukha	Andi	F	1984	8.2017	
pn	125	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомло решин седугу денно воццудло решл1и гъуркъи рак1арадо рик1о	čomlo rešin sedu=gu den=no wocːu-d=lo reš-ƛi hurq’i r-ak’ar-ado r-ik’o	some year ago=emph 1sg.erg=add brother-erg=add forest-inter strawberry inantwo-gather-prog inantwo-be.aor		gather	рак1арадо рик1о	past progressive	other	other	GRG	Rikvani	Andi	M	1940	8.2017	
pn	137	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон себ микъил*а дий йеч1уха ила решл1икку йил*инно йик1о, гьегелд гъуркъи рак1арадо рик1о	di-ɬu bosːon se-b miq’i-la di-j j-eč’uχa ila reš-ƛi-kːu j-il’in-no j-ik’o, hegel-d hurq’i r-ak’ar-ado r-ik’o	1sg-dat tell.aor one-inanone road-sup 1sg-f[gen] f-big mother forest-inter-el f-go-hab f-be.aor dem-erg strawberry inantwo-gather-prog inantwo-be.aor		tell	боссон	aorist	other	past	GRG	Rikvani	Andi	M	1940	8.2017	
pn	138	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон себ микъил*а дий йеч1уха ила решл1икку йил*инно йик1о, гьегелд гъуркъи рак1арадо рик1о	di-ɬu bosːon se-b miq’i-la di-j j-eč’uχa ila reš-ƛi-kːu j-il’in-no j-ik’o, hegel-d hurq’i r-ak’ar-ado r-ik’o	1sg-dat tell.aor one-inanone road-sup 1sg-f[gen] f-big mother forest-inter-el f-go-hab f-be.aor dem-erg strawberry inantwo-gather-prog inantwo-be.aor		go	йил*инно йик1о	past habitual	other	other	GRG	Rikvani	Andi	M	1940	8.2017	
pn	139	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон себ микъил*а дий йеч1уха ила решл1икку йил*инно йик1о, гьегелд гъуркъи рак1арадо рик1о	di-ɬu bosːon se-b miq’i-la di-j j-eč’uχa ila reš-ƛi-kːu j-il’in-no j-ik’o, hegel-d hurq’i r-ak’ar-ado r-ik’o	1sg-dat tell.aor one-inanone road-sup 1sg-f[gen] f-big mother forest-inter-el f-go-hab f-be.aor dem-erg strawberry inantwo-gather-prog inantwo-be.aor		gather	рак1арадо рик1о	past progressive	other	other	GRG	Rikvani	Andi	M	1940	8.2017	
pn	153	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомболло решин седу денно див воццло воъон решл1и бак1арунни пихъ	čom-bolo rešin sedu den=no di-w wocː=lo w-oʔon reš-ƛi b-ak’arunni piq	some-indef year ago 1.sg=add 1sg-m[gen] brother=add m-pl.go.aor forest-inter inanone-gather.aor fruit		gather	бак1арунни	aorist	other	past	GRSh	Rikvani	Andi	F	2007	8.2017	
pn	154	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомболло решин седу денно див воццло воъон решл1и бак1арунни пихъ	čom-bolo rešin sedu den=no di-w wocː=lo w-oʔon reš-ƛi b-ak’arunni piq	some-indef year ago 1.sg=add 1sg-m[gen] brother=add m-pl.go.aor forest-inter inanone-gather.aor fruit		go	воъон	aorist	other	past	GRSh	Rikvani	Andi	F	2007	8.2017	
pn	168	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон дий йеч1ухабаба йуъонлъогъо решл1и бак1аруннилъогъо пихъ	di-ɬu bosːon di-j j-eč’uχa.baba j-uʔon=ɬoʁo reš-ƛi b-ak’arunni=ɬoʁo piq	1sg-dat tell.aor 1sg-f[gen] f-big.mom f-go.aor=quot inanone-gather.aor=quot fruit		gather	бак1аруннилъогъо	aorist	other	past	GRSh	Rikvani	Andi	F	2007	8.2017	
pn	169	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон дий йеч1ухабаба йуъонлъогъо решл1и бак1аруннилъогъо пихъ	di-ɬu bosːon di-j j-eč’uχa.baba j-uʔon=ɬoʁo reš-ƛi b-ak’arunni=ɬoʁo piq	1sg-dat tell.aor 1sg-f[gen] f-big.mom f-go.aor=quot inanone-gather.aor=quot fruit		tell	боссон	aorist	other	past	GRSh	Rikvani	Andi	F	2007	8.2017	
pn	184	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомло решин седу воццило денно решл1и воъон ч1ат1и рак1арунну	čom=lo rešin sedu wocːi=lo den=no reš-ƛi w-oʔon č’at’i r-ak’arun-nu	some=add year ago brother=add 1sg forest-inter m-pl.go.aor blackcurrant inantwo-gather-inf		go	воъон	aorist	other	past	Kh	Zilo	Andi	F	NA	8.2017	
pn	185	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомло решин седу воццило денно решл1и воъон ч1ат1и рак1арунну	čom=lo rešin sedu wocːi=lo den=no reš-ƛi w-oʔon č’at’i r-ak’arun-nu	some=add year ago brother=add 1sg forest-inter m-pl.go.aor blackcurrant inantwo-gather-inf		gather	рак1арунну	infinitive	other	other	Kh	Zilo	Andi	F	NA	8.2017	
pn	198	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссон дий ила решл1и йиъонний гъуръги рак1арунний йиъойгъоди	di-qi bosːon di-j ila reš-ƛi j-iʔonni-j ʁurʁi r-ak’arunni-j j-iʔo-j=ʁodi	1sg-instr tell.aor 1sg-f[gen] forest-interf-go-cvb blackcurrant inantwo-gather-cvb f-come-pf=rep		tell	боссон	aorist	other	past	Kh	Zilo	Andi	F	NA	8.2017	
pn	199	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссон дий ила решл1и йиъонний гъуръги рак1арунний йиъойгъоди	di-qi bosːon di-j ila reš-ƛi j-iʔonni-j ʁurʁi r-ak’arunni-j j-iʔo-j=ʁodi	1sg-instr tell.aor 1sg-f[gen] forest-interf-go-cvb blackcurrant inantwo-gather-cvb f-come-pf=rep		go	йиъойгъоди	perfect	other	perfect	Kh	Zilo	Andi	F	NA	8.2017	
pn	200	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссон дий ила решл1и йиъонний гъуръги рак1арунний йиъойгъоди	di-qi bosːon di-j ila reš-ƛi j-iʔonni-j ʁurʁi r-ak’arunni-j j-iʔo-j=ʁodi	1sg-instr tell.aor 1sg-f[gen] forest-interf-go-cvb blackcurrant inantwo-gather-cvb f-come-pf=rep		go	йиъонний	perfect	other	perfect	Kh	Zilo	Andi	F	NA	8.2017	
pn	201	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссон дий ила решл1и йиъонний гъуръги рак1арунний йиъойгъоди	di-qi bosːon di-j ila reš-ƛi j-iʔonni-j ʁurʁi r-ak’arunni-j j-iʔo-j=ʁodi	1sg-instr tell.aor 1sg-f[gen] forest-interf-go-cvb blackcurrant inantwo-gather-cvb f-come-pf=rep		gather	рак1арунний	perfect	other	perfect	Kh	Zilo	Andi	F	NA	8.2017	
pn	213	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомло решин седу денно воццило вогъи решл1и ч1ат1и рак1арумало	čom=lo rešin sedu den=no wocːi=lo w-oʁi reš-ƛi č’at’i r-ak’aru-malo	some=add year ago 1=add brother=add m-pl.be.aor forest-inter blackberry inantwo-gather-prog			вогъи	aorist		past	KhMM	Zilo	Andi	F	1981	8.2017	
pn	214	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомло решин седу денно воццило вогъи решл1и ч1ат1и рак1арумало	čom=lo rešin sedu den=no wocːi=lo w-oʁi reš-ƛi č’at’i r-ak’aru-malo	some=add year ago 1=add brother=add m-pl.be.aor forest-inter blackberry inantwo-gather-prog		gather	рак1арумало	progressive	other	other	KhMM	Zilo	Andi	F	1981	8.2017	
pn	227	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссонний бигъи иннаболо иший йохорди решл1и йиъоннирбигьи рак1арумало рик1ой ч1ат1и	di-qi bosːonni-j b-iʁi inna-bolo išːi-j j-oχor-di reš-ƛi j-iʔonni-rbihi r-ak’aru-malo r-ik’o-j č’at’i	1sg-instr tell-pf inanone-be.aor where-indef 1pl.excl-f[gen] f-old-erg forest-inter f-go-temp inantwo-gather-prog inantwo-be-pf blackberry		go	йиъоннирбигьи	perfect	other	perfect	KhMM	Zilo	Andi	F	1981	8.2017	
pn	228	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссонний бигъи иннаболо иший йохорди решл1и йиъоннирбигьи рак1арумало рик1ой ч1ат1и	di-qi bosːonni-j b-iʁi inna-bolo išːi-j j-oχor-di reš-ƛi j-iʔonni-rbihi r-ak’aru-malo r-ik’o-j č’at’i	1sg-instr tell-pf inanone-be.aor where-indef 1pl.excl-f[gen] f-old-erg forest-inter f-go-temp inantwo-gather-prog inantwo-be-pf blackberry		gather	рак1арумало рик1ой	perfect progressive	other	other	KhMM	Zilo	Andi	F	1981	8.2017	
pn	229	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссонний бигъи иннаболо иший йохорди решл1и йиъоннирбигьи рак1арумало рик1ой ч1ат1и	di-qi bosːonni-j b-iʁi inna-bolo išːi-j j-oχor-di reš-ƛi j-iʔonni-rbihi r-ak’aru-malo r-ik’o-j č’at’i	1sg-instr tell-pf inanone-be.aor where-indef 1pl.excl-f[gen] f-old-erg forest-inter f-go-temp inantwo-gather-prog inantwo-be-pf blackberry		tell	боссонний бигъи	pluperfect	other	other	KhMM	Zilo	Andi	F	1981	8.2017	
pn	243	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомло решин седу денно воццило вогъи воъинне решл1икку 	čom=lo rešin sedu den=no wocːi=lo w-oʁi w-oʔinn-e reš-ƛi-kːu	some=Add year ago 1Sg=Add brother=Add M-Pl.be.Aor M-Pl.go-Hab forest-Inter-El		tell	вогъи воъинне	past habitual	other	other	M	Zilo	Andi	M	NA	8.2017	
pn	256	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссомадо бигъи иший илуди решл1ило йиъонний, гьелди бихъи бак1арунний	di-qi bosːo-mado b-iʁi išːi-j ilu-di reš-ƛi=lo j-iʔonni-j, hel-di biqi b-ak’arunni-j	1Sg-Instr tell-Prog Inanone-be.Aor 1pl.excl-F[Gen] mother-Erg forest-Inter=Add F-go-Pf Dem-Erg fruit Inanone-gather-Pf		tell	боссомадо бигъи	past progressive	other	other	M	Zilo	Andi	M	NA	8.2017	
pn	257	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссомадо бигъи иший илуди решл1ило йиъонний, гьелди бихъи бак1арунний	di-qi bosːo-mado b-iʁi išːi-j ilu-di reš-ƛi=lo j-iʔonni-j, hel-di biqi b-ak’arunni-j	1Sg-Instr tell-Prog Inanone-be.Aor 1pl.excl-F[Gen] mother-Erg forest-Inter=Add F-go-Pf Dem-Erg fruit Inanone-gather-Pf		gather	бак1арунний	perfect	other	perfect	M	Zilo	Andi	M	NA	8.2017	
pn	258	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи боссомадо бигъи иший илуди решл1ило йиъонний, гьелди бихъи бак1арунний	di-qi bosːo-mado b-iʁi išːi-j ilu-di reš-ƛi=lo j-iʔonni-j, hel-di biqi b-ak’arunni-j	1Sg-Instr tell-Prog Inanone-be.Aor 1pl.excl-F[Gen] mother-Erg forest-Inter=Add F-go-Pf Dem-Erg fruit Inanone-gather-Pf		go	йиъонний	perfect	other	perfect	M	Zilo	Andi	M	NA	8.2017	
pn	273	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чомло решин седу воццило денно гъваркъи рак1арумало вогъи решл1и	čom=lo rešin sedu wocːi=lo den=no ʁʷarq’i r-ak’aru-malo w-oʁi reš-ƛi	some=Add year ago brother=Add 1Sg=Add raspberry Inantwo-gather-Prog M-Pl.be.Aor forest-Inter		gather	рак1арумало вогъи	past progressive	other	other	MKG	Zilo	Andi	M	1958	8.2017	
pn	286	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды.  	дихъи боссон йохор ила решл1ило йиъонний гъваркъи рак1арумало йигъи	di-qi bosːon j-oχor ila reš-ƛi=lo j-iʔonni-j ʁʷarq’i r-ak’aru-malo j-iʁi	1Sg tell.Aor F-old mother forest-Inter=Add F-go-Cvb raspberry Inantwo-gather-Prog F-be.Aor		tell	боссон	aorist	other	past	MKG	Zilo	Andi	M	1958	8.2017	
pn	287	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды.  	дихъи боссон йохор ила решл1ило йиъонний гъваркъи рак1арумало йигъи	di-qi bosːon j-oχor ila reš-ƛi=lo j-iʔonni-j ʁʷarq’i r-ak’aru-malo j-iʁi	1Sg tell.Aor F-old mother forest-Inter=Add F-go-Cvb raspberry Inantwo-gather-Prog F-be.Aor		gather	рак1арумало йигъи	past progressive	other	other	MKG	Zilo	Andi	M	1958	8.2017	
pn	288	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды.  	дихъи боссон йохор ила решл1ило йиъонний гъваркъи рак1арумало йигъи	di-qi bosːon j-oχor ila reš-ƛi=lo j-iʔonni-j ʁʷarq’i r-ak’aru-malo j-iʁi	1Sg tell.Aor F-old mother forest-Inter=Add F-go-Cvb raspberry Inantwo-gather-Prog F-be.Aor		go	йиъонний	perfect	other	perfect	MKG	Zilo	Andi	M	1958	8.2017	
pn	303	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	серчомло решин седу ден воццлогу вул*он вук1о решли гъуркъи рак1арунну	se-r čom=lo rešin sedu den wocː=logu w-ul’on w-uk’o rešli ʁurq’i r-ak’arun-nu	one-inantwo some=add year ago 1.sg brother=com m-go.aor m-be.aor forest(?) wild_strawberry inantwo-gather-inf		gather	рак1арунну	infinitive	other	other	MShM	Rikvani	Andi	M	1946	8.2017	
pn	304	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	серчомло решин седу ден воццлогу вул*он вук1о решли гъуркъи рак1арунну	se-r čom=lo rešin sedu den wocː=logu w-ul’on w-uk’o rešli ʁurq’i r-ak’arun-nu	one-inantwo some=add year ago 1.sg brother=com m-go.aor m-be.aor forest(?) wild_strawberry inantwo-gather-inf		go	вул*он вук1о	unclear	other	other	MShM	Rikvani	Andi	M	1946	8.2017	
pn	318	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон онщгу йохоруд решлил*о йил*онд рак1арадо рок1о рихилол 	di-ɬu bosːon onšː=gu j-oχoru-d rešli-l’o j-il’on-d r-ak’ar-ado r-ok’o riχilol 	1sg-dat tell.aor once=emph f-old-erg forest-in.lat f-go-cvb inantwo-gather-prog inantwo-pl.be.aor red_berry.pl		tell	боссон	aorist	other	past	MShM	Rikvani	Andi	M	1946	8.2017	
pn	319	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон онщгу йохоруд решлил*о йил*онд рак1арадо рок1о рихилол 	di-ɬu bosːon onšː=gu j-oχoru-d rešli-l’o j-il’on-d r-ak’ar-ado r-ok’o riχilol 	1sg-dat tell.aor once=emph f-old-erg forest-in.lat f-go-cvb inantwo-gather-prog inantwo-pl.be.aor red_berry.pl		gather	рак1арадо рок1о	past progressive	other	other	MShM	Rikvani	Andi	M	1946	8.2017	
pn	320	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дилъу боссон онщгу йохоруд решлил*о йил*онд рак1арадо рок1о рихилол 	di-ɬu bosːon onšː=gu j-oχoru-d rešli-l’o j-il’on-d r-ak’ar-ado r-ok’o riχilol 	1sg-dat tell.aor once=emph f-old-erg forest-in.lat f-go-cvb inantwo-gather-prog inantwo-pl.be.aor red_berry.pl		go	йил*онд	perfect	other	perfect	MShM	Rikvani	Andi	M	1946	8.2017	
pn	337	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чонгуло решин сивахади ден воццило тахъи решту воъонногъи решул1и пихъи бак1аруннулъири	čongulo rešin siwaχadi den wocːi=lo taqi reš-tu w-oʔonno=ʁi rešu-ƛi piqi b-ak'arun-nu-ɬiri	some year ago 1sg brother=add ? forest-lat m-go.cvb=be.aor forest-inter fruit n-gather-inf-purp 		gather	бак1аруннулъири	infinitive	other	other	NNA	Muni	Andi	M	1970	8.2017	
pn	338	1	direct	Несколько лет назад мы с братом шли по лесу и собирали ягоды. 	чонгуло решин сивахади ден воццило тахъи решту воъонногъи решул1и пихъи бак1аруннулъири	čongulo rešin siwaχadi den wocːi=lo taqi reš-tu w-oʔonno=ʁi rešu-ƛi piqi b-ak'arun-nu-ɬiri	some year ago 1sg brother=add ? forest-lat m-go.cvb=be.aor forest-inter fruit n-gather-inf-purp 		go	воъонногъи	unclear	other	unclear	NNA	Muni	Andi	M	1970	8.2017	
pn	352	1	indirect	Мне рассказывали, что однажды моя бабушка шла по лесу, собирала ягоды. 	дихъи босоно бигъи иши йеч1уха ила решдуло йонно решул1и пихъи бак1арума игъино 	di-qi bosono b-iʁi iši j-eč'uχa ila reš-du=lo j-onno rešu-ƛi piqi b-ak'aru-ma iʁi=no	1sg-instr tell.cvb n-be.aor 1pl.excl f-big mother forest-lat=add f-go.cvb forest-inter fruit n-gather-hab be=add		gather	бак1арума игъино 	past habitual	other	other	NNA	Muni	Andi	M	1970	8.2017	
